,county,customers_served,timestamp
11,abbeville,1092.0,2024-05-26 01:14:49.763759
0,aiken,98490.0,2024-05-23 17:59:49.121366
12,allendale,3494.0,2024-05-24 14:59:47.839133
24,anderson,0.0,01-02-2025 19:30:08
13,bamberg,3200.0,2024-05-28 07:14:49.164046
1,barnwell,7570.0,2024-05-25 11:44:47.788757
14,beaufort,61078.0,2024-05-23 17:15:03.647765
8,berkeley,118735.0,2024-05-23 19:29:49.260988
2,calhoun,3361.0,2024-05-25 23:29:49.532107
9,charleston,248554.0,2024-05-23 17:15:03.647765
25,chesterfield,2500.0,05-24-2024 07:43:49
15,colleton,13455.0,2024-05-23 17:15:03.647765
26,darlington,10000.0,05-24-2024 14:28:49
27,dillon,4545.0,05-24-2024 10:13:47
10,dorchester,75363.0,2024-05-23 19:14:49.646427
3,edgefield,14716.0,2024-05-24 13:29:49.675107
16,fairfield,3718.0,2024-05-24 15:29:47.676797
28,florence,10000.0,05-25-2024 07:43:49
17,greenwood,190.0,2024-07-18 15:59:50.049987
18,hampton,7323.0,2024-05-23 17:29:48.202928
19,jasper,10047.0,2024-05-23 18:29:46.991586
20,kershaw,63.0,2024-06-30 23:29:47.399965
29,lee,510.0,06-07-2024 00:13:49
4,lexington,116521.0,2024-05-23 18:59:47.544450
30,marion,3333.0,05-24-2024 15:13:48
31,marlboro,4286.0,05-24-2024 13:28:48
5,mccormick,1985.0,2024-05-24 22:44:47.031483
21,newberry,2318.0,2024-05-24 00:29:48.001123
6,orangeburg,16171.0,2024-05-23 19:14:49.646427
22,richland,180047.0,2024-05-23 17:15:03.647765
7,saluda,7457.0,2024-05-24 17:59:47.558955
23,union,696.0,2024-05-26 00:29:47.134058
