,county,customers_served,timestamp
0,autauga,29723.0,01-01-2025 00:37:37
16,baldwin,6111.0,01-01-2025 00:10:22
11,barbour,15392.0,01-06-2025 16:55:00
1,bibb,11715.0,01-06-2025 20:22:37
17,blount,31974.0,01-01-2025 08:10:19
18,bullock,3050.0,01-01-2025 19:55:26
19,butler,6362.0,01-02-2025 18:25:24
20,calhoun,56578.0,01-01-2025 00:10:22
21,chambers,11763.0,01-01-2025 00:10:22
22,cherokee,49.0,02-16-2025 07:55:19
2,chilton,26713.0,01-01-2025 18:37:36
23,choctaw,2853.0,01-01-2025 01:40:23
24,clarke,7736.0,01-01-2025 11:10:20
25,clay,6399.0,01-01-2025 00:10:22
26,cleburne,9762.0,01-01-2025 00:10:22
12,coffee,15262.0,01-15-2025 14:10:01
27,conecuh,452.0,01-09-2025 21:10:21
3,coosa,7931.0,01-01-2025 00:10:22
28,covington,1447.0,01-02-2025 13:40:23
29,crenshaw,343.0,01-06-2025 05:10:23
30,cullman,267.0,01-02-2025 15:25:25
13,dale,28932.0,01-01-2025 12:40:01
4,dallas,19506.0,02-24-2025 22:22:56
5,elmore,47301.0,01-01-2025 00:10:22
31,escambia,11527.0,01-01-2025 07:10:20
32,etowah,54383.0,01-01-2025 06:10:25
33,fayette,10617.0,01-01-2025 00:10:22
34,franklin,4914.0,01-01-2025 19:55:26
14,geneva,7440.0,05-08-2025 14:10:02
35,greene,2604.0,01-02-2025 15:25:25
36,hale,6986.0,01-01-2025 01:40:23
15,henry,12363.0,01-02-2025 06:25:19
37,houston,12115.0,01-02-2025 03:10:24
38,jefferson,329308.0,01-01-2025 00:10:22
39,lamar,5909.0,01-03-2025 17:55:22
40,lawrence,9.0,01-10-2025 15:55:23
10,lee,78507.0,01-01-2025 00:10:22
6,lowndes,4010.0,01-03-2025 17:25:23
41,macon,1428.0,01-03-2025 14:40:21
42,marengo,9015.0,01-01-2025 06:55:20
43,marion,12406.0,01-01-2025 22:40:26
44,marshall,83.0,01-11-2025 00:40:19
45,mobile,99216.0,01-01-2025 02:10:25
46,monroe,7436.0,01-01-2025 00:10:22
47,montgomery,100084.0,01-01-2025 00:10:22
7,perry,4870.0,01-06-2025 20:22:37
48,pickens,11470.0,01-01-2025 18:10:25
49,randolph,14158.0,01-01-2025 00:10:22
50,russell,22705.0,01-01-2025 07:25:22
51,shelby,110057.0,01-01-2025 00:10:22
52,st. clair,48135.0,01-01-2025 00:10:22
53,sumter,6647.0,01-02-2025 08:10:21
8,talladega,28484.0,01-06-2025 03:52:33
9,tallapoosa,21805.0,01-02-2025 22:37:35
54,tuscaloosa,112234.0,01-01-2025 00:10:22
55,walker,38881.0,01-01-2025 00:10:22
56,washington,464.0,01-02-2025 17:10:26
57,wilcox,5437.0,01-01-2025 09:10:23
58,winston,10782.0,01-01-2025 22:40:26
